userID,train_precision,train_recall,train_ndcg,test_precision,test_recall,test_ndcg,model_name,num_movies,num_users,num_ratings_per_user,randomness
726,0.0,0.0,0.0,0.0,0.0,0.0,BayesianRecommendationModel,200,1000,30,0.2
9,0.0,0.0,0.0,0.0,0.0,0.0,BayesianRecommendationModel,200,1000,30,0.2
765,0.0,0.0,0.0,0.0,0.0,0.0,BayesianRecommendationModel,200,1000,30,0.2
21,0.0,0.0,0.0,0.1,0.25,0.45435593380883454,BayesianRecommendationModel,200,1000,30,0.2
570,0.0,0.0,0.0,0.0,0.0,0.0,BayesianRecommendationModel,200,1000,30,0.2
213,0.0,0.0,0.0,0.0,0.0,0.0,BayesianRecommendationModel,200,1000,30,0.2
823,0.0,0.0,0.0,0.0,0.0,0.0,BayesianRecommendationModel,200,1000,30,0.2
945,0.0,0.0,0.0,0.0,0.0,0.0,BayesianRecommendationModel,200,1000,30,0.2
530,0.0,0.0,0.0,0.0,0.0,0.0,BayesianRecommendationModel,200,1000,30,0.2
756,0.0,0.0,0.0,0.1,0.3333333333333333,0.45435593380883454,BayesianRecommendationModel,200,1000,30,0.2
858,0.0,0.0,0.0,0.0,0.0,0.0,BayesianRecommendationModel,200,1000,30,0.2
714,0.0,0.0,0.0,0.0,0.0,0.0,BayesianRecommendationModel,200,1000,30,0.2
293,0.0,0.0,0.0,0.1,0.3333333333333333,0.45435593380883454,BayesianRecommendationModel,200,1000,30,0.2
634,0.0,0.0,0.0,0.0,0.0,0.0,BayesianRecommendationModel,200,1000,30,0.2
972,0.0,0.0,0.0,0.1,0.3333333333333333,0.45435593380883454,BayesianRecommendationModel,200,1000,30,0.2
276,0.0,0.0,0.0,0.0,0.0,0.0,BayesianRecommendationModel,200,1000,30,0.2
617,0.0,0.0,0.0,0.0,0.0,0.0,BayesianRecommendationModel,200,1000,30,0.2
278,0.0,0.0,0.0,0.0,0.0,0.0,BayesianRecommendationModel,200,1000,30,0.2
181,0.0,0.0,0.0,0.0,0.0,0.0,BayesianRecommendationModel,200,1000,30,0.2
425,0.0,0.0,0.0,0.0,0.0,0.0,BayesianRecommendationModel,200,1000,30,0.2
50,0.0,0.0,0.0,0.1,0.2,0.45435593380883454,BayesianRecommendationModel,200,1000,30,0.2
352,0.0,0.0,0.0,0.0,0.0,0.0,BayesianRecommendationModel,200,1000,30,0.2
516,0.0,0.0,0.0,0.0,0.0,0.0,BayesianRecommendationModel,200,1000,30,0.2
598,0.0,0.0,0.0,0.0,0.0,0.0,BayesianRecommendationModel,200,1000,30,0.2
449,0.0,0.0,0.0,0.0,0.0,0.0,BayesianRecommendationModel,200,1000,30,0.2
346,0.0,0.0,0.0,0.0,0.0,0.0,BayesianRecommendationModel,200,1000,30,0.2
303,0.0,0.0,0.0,0.0,0.0,0.0,BayesianRecommendationModel,200,1000,30,0.2
58,0.0,0.0,0.0,0.1,0.2,0.45435593380883454,BayesianRecommendationModel,200,1000,30,0.2
